company_id,company_name,tags,position,location,date_applied,stage,response,career_fit_now,interest_level,growth_potential,salary_fit,total_score,notes
1,Company A,"Consumer Goods, Logistics, Media/Comm",Project Manager Creative Operations,Germany,2025-07-31,Rejected,Yes,3,3,3,5,3.4,Creative/Operations mix; some new methods but coordination-heavy.
2,Company B,EdTech,Content Project Manager,Remote (US),2025-08-02,Applied,No,5,2,3,5,3.5,"EdTech content role, mainly coordination and management."
3,Company C,"HR/Recruitment, Consulting, Project Mgmt Services",Marketing Project Manager (Remote),Remote (US),2025-08-02,Rejected,Yes,4,2,3,5,3.3,"Listed Salary
Project management in marketing, mainly coordination."
4,Company D,"Hospitality, Real Estate/Infra",Assistant Project Manager,Singapore,2025-08-06,Applied,No,3,3,3,5,3.4,"Assistant PM role, administrative and coordination-heavy."
5,Company E,"Consulting, Finance",Deals - M&A Operations Manager,Singapore,2025-08-07,Rejected,No,3,5,4,5,4.3,Consulting with a strong analytical focus (M&A).
6,Company F,Consulting,Assistant Manager - Business Strategy & Operations,Singapore,2025-08-07,Applied,No,3,5,4,5,4.3,Consulting role focused on business strategy and analysis.
7,Company G1,Consulting,Business Transformation Consultant / Associate - Manager / Consulting,Singapore,2025-08-08,Applied,No,3,5,4,5,4.3,Consulting role focused on business transformation.
8,Company H ,EdTech,Program Operations Manager,Germany,2025-08-12,Rejected,Yes,4,4,3,5,3.9,"Program operations, mainly administrative/coordination."
9,Company I,"HR/Recruitment, Tech/IT",IT Infrstructure Project Manager,Singapore,2025-08-12,Rejected,Yes,3,3,4,5,3.7,"Listed Salary
IT infrastructure implies technical tools and systems."
10,Company J,"EdTech, Community",Programme Manager (Holiday Programme),Singapore,2025-08-13,Applied,No,5,2,3,4,3.3,"Community program management, coordination-heavy."
11,Company K,"HR/Recruitment, Tech/IT",Business Program Manager,Singapore,2025-08-13,Applied,No,3,3,4,5,3.7,"Tech/IT sector role, likely requires analytics/CRM tools."
12,Company L ,"Real Estate/Infra, Tech/IT","Program Manager, Operations",Singapore,2025-08-15,Applied,No,3,2,3,5,3.1,"Operations-focused, less on technical tools, more on coordination."
13,Company M ,"Finance (FinTech), Tech/IT",Strategy & Operations Manager,Singapore,2025-08-15,Rejected,Yes,3,3,4,5,3.7,"FinTech strategy role, highly analytical."
14,Company N1,Logistics/Auto,After-sales Spare Parts Planning Specialist - Chinese Speaking,Netherlands,2025-08-17,Applied,No,2,3,2,5,2.9,"Planning specialist, narrow scope (spare parts), repetitive tasks."
15,Company N2,Logistics/Auto,Product Manager - CEE（Hungary& Austria&Switzerland）,"Hungary 
Austria
Switzerland",2025-08-17,Applied,No,2,3,3,5,3.2,"Position no longer available
Auto product management, some analytical work but in a traditional industry."
16,Company N3,"Logistics/Auto, Media/Comm",NL-PR Specialist-Chinese Speaker,Netherlands,2025-08-17,Applied,No,2,3,2,5,2.9,"PR specialist, narrow scope, minimal technical growth."
17,Company N4,"Logistics/Auto, Tech/IT",Business Support Specialist (Data),Netherlands,2025-08-17,Applied,No,2,4,5,5,4.1,"Explicitly mentions Data in the title, implying analytical work."
18,Company O,"Media/Comm, Consulting",Associate Client Director,London,2025-08-17,Rejected,Yes,3,5,4,5,4.3,Consulting and client-facing analytical work.
